Codice identificativo	Regione	Nome carcere	Tipo carcere	Latitude	Longitude	Numero stanze	Stanze non disponibili	Percentuale stanze non disponibili					
MII158944	Marche	Ancona Barcaglione	Casa di reclusione	43,61336	13,44018	98	0	0					
MII159060	Campania	Arienzo	Casa di reclusione	41,0242566	14,4970522	53	0	0					
MII172011	Campania	Avellino	Casa circondariale	40,9141958	14,7888764	211	0	0					
MII172592	Lombardia	Brescia Canton Monbello	Casa circondariale	45,5325399	10,2340676	100	0	0					
MII172610	Lombardia	Brescia Verziano	Casa di reclusione	45,4996058	10,18776766	71	0	0					
MII172835	Sardegna	Cagliari Uta	Casa circondariale	39,1694193	8,93944903	282	0	0					
MII173063	Sicilia	Caltanissetta	Casa circondariale	37,4943829652226	14,0561560419519	111	0	0					
MII173259	Sicilia	Castelvetrano	Casa circondariale	37,6828513	12,7955336	40	0	0					
MII173301	Sicilia	Catania Piazza Lanza	Casa circondariale	37,50570535	14,94420233	106	0	0					
MII173356	Liguria	Chiavari	Casa di reclusione	44,3164494	9,3233382	23	0	0					
MII173364	Abruzzo	Chieti	Casa circondariale	42,3446529	14,1659738	33	0	0					
MII173784	Campania	Eboli	Casa di reclusione	40,6175146	15,0569438	9	0	0					
MII173994	Sicilia	Favignana	Casa di reclusione	37,9314505	12,3273647	33	0	0					
MII174501	Marche	Fermo	Casa di reclusione	43,0922489	13,63876807	22	0	0					
MII174686	Emilia-Romagna	Ferrara	Casa circondariale	44,8423466	11,5822881	234	0	0					
MII176414	Piemonte	Fossano	Casa di reclusione	44,5493489	7,7250155	48	0	0					
MII176451	Sicilia	Gela	Casa circondariale	37,0664363	14,2502445	48	0	0					
MII176703	Liguria	Genova Pontedecimo	Casa circondariale	44,49411925	8,90540935	96	0	0					
MII176714	Sicilia	Giarre	Casa circondariale	37,726857	15,187688	58	0	0					
MII176719	Friuli-Venezia Giulia	Gorizia	Casa circondariale	45,9441278	13,6252288	17	0	0					
MII176743	Toscana	Grosseto	Casa circondariale	42,7597261	11,1137389	9	0	0					
MII176759	Molise	Isernia	Casa circondariale	41,600216	14,238217	28	0	0					
MII177107	Abruzzo	Lanciano	Casa circondariale	42,2305316	14,3907794	192	0	0					
MII177118	Sardegna	Lanusei	Casa circondariale	39,8785705	9,5410772	14	0	0					
MII177323	Molise	Larino	Casa circondariale	41,8055672	14,9210984	106	0	0					
MII177332	Lazio	Latina	Casa circondariale	41,46083555	12,89935226	65	0	0					
MII177346	Calabria	Laureana di Borrello	Casa di reclusione	38,492577	16,082098	37	0	0					
MII177384	Campania	Lauro	Istituto custodia attenuata per madri	40,8799681	14,629467	20	0	0					
MII177436	Lombardia	Lecco	Casa circondariale	45,8553764	9,389605	40	0	0					
MII177498	Toscana	Livorno Gorgona	Casa di reclusione	43,42959665	9,89870751	55	0	0					
MII177996	Calabria	Locri	Casa circondariale	38,2385368	16,2655092	40	0	0					
MII178045	Puglia	Lucera	Casa circondariale	41,51140835	15,33357537	81	0	0					
MII178072	Lombardia	Mantova	Casa circondariale	45,1566683	10,7917191	56	0	0					
MII178115	Toscana	Massa Marittima	Casa circondariale	43,0438048	10,9023227	24	0	0					
MII178141	Basilicata	Melfi	Casa circondariale	40,9961962	15,6556359	122	0	0					
MII178681	Sicilia	Noto	Casa di reclusione	36,89341275	15,07208372	98	0	0					
MII178700	Piemonte	Novara	Casa circondariale	45,4353796	8,63788811	102	0	0					
MII179274	Sardegna	Oristano	Casa di reclusione	39,94078795	8,61201176	138	0	0					
MII179280	Umbria	Orvieto	Casa di reclusione	42,72110485	12,11506423	35	0	0					
MII179342	Calabria	Palmi	Casa circondariale	38,3673254	15,8589302	54	0	0					
MII179733	Lombardia	Voghera	Casa circondariale	44,9978954	8,9925217	190	0	0					
MII179876	Toscana	Volterra	Casa di reclusione	43,400337	10,860019	176	0	0					
MII179896	Toscana	Pistoia	Casa circondariale	43,93904125	10,91550517	48	0	0					
MII179913	Friuli-Venezia Giulia	Pordenone	Casa circondariale	45,9561032	12,66265692	14	0	0					
MII179981	Emilia-Romagna	Ravenna	Casa circondariale	44,41458045	12,19213791	49	0	0					
MII179988	Calabria	Reggio Calabria Arghillà	Casa circondariale	38,1929515	15,681926617	85	0	0					
MII180001	Emilia-Romagna	Rimini	Casa circondariale	44,0593886	12,5684371	53	0	0					
MII180415	Calabria	Rossano	Casa di reclusione	39,5746821	16,6348647	142	0	0					
